HEROP_ID,MhMinDis
140US01117030212,4.105207922
140US01115040401,13.47276906
140US01051030102,12.79557541
140US01051031002,4.715117827
140US01127020801,8.817701431
140US01127020802,7.269187681
140US01103005106,3.224253763
140US01103005107,6.05911782
140US01051030702,10.92671703
140US01051030701,9.135790794
140US01001020902,13.58110818
140US01001020804,3.064051891
140US01117980000,4.625336304
140US01117030337,6.944544613
140US01117030320,3.172208203
140US01117030306,4.092187814
140US01117030316,2.179406106
140US01117030703,10.52248098
140US01117030331,3.203601995
140US01073011109,6.333973652
140US01073011110,10.34121647
140US01097006407,11.68468789
140US01097006501,6.682720509
140US01097007400,4.251492347
140US01097003706,1.862365817
140US01133965501,17.1835658
140US01013953500,15.85757291
140US01033020703,6.806913304
140US01073005909,3.366488925
140US01073011208,5.28062042
140US01073004901,0.100103842
140US01073010802,1.830879465
140US01073005800,1.575258958
140US01073014412,6.48001106
140US01073011301,12.21063382
140US01055000200,1.374053278
140US01055010100,3.07203272
140US01121010102,11.41022506
140US01121010700,14.73838107
140US01081042005,4.83370278
140US01081042003,6.266863561
140US01113030402,0.587047302
140US01113030500,0.928151191
140US01089002502,1.20216099
140US01089002722,2.912673179
140US01089011100,5.133064865
140US01045020400,2.43661494
140US01045020801,4.133732305
140US01025957601,22.99649319
140US01101005502,10.41637373
140US01123962200,5.209531805
140US01123962501,9.462733675
140US01089011203,11.24578404
140US01073011114,5.929855467
140US01073014414,6.842146906
140US01073012003,5.492766007
140US01073010806,2.880954356
140US01073012916,5.12983663
140US01073014107,14.77520804
140US01073011708,9.657150279
140US01073010807,1.923848846
140US01073011004,7.293300476
140US01073010605,1.837444815
140US01073012004,6.63467474
140US01073011304,13.30228633
140US01089011301,9.169386547
140US01089010303,15.50809741
140US01089010629,5.959724535
140US01089010627,1.666843439
140US01089011024,6.391896291
140US01089011302,9.626993266
140US01089010631,3.627201962
140US01089010904,6.692382679
140US01089002924,5.073170131
140US01089010905,6.657344046
140US01089011027,5.014562489
140US01089010705,7.607126122
140US01073014209,4.666430793
140US01073014207,6.292530622
140US01073014303,5.263423527
140US01073002402,2.281430129
140US01073012917,5.863650336
140US01117030346,4.425135735
140US01097006413,7.686969787
140US01117030219,5.382893741
140US01117030610,6.250187417
140US01117030503,3.570588498
140US01117030349,1.627261071
140US01117030221,3.360285295
140US01117030504,1.269151453
140US01103005305,8.657542366
140US01103005201,14.47883377
140US01103005703,9.28247765
140US01103005202,8.913338221
140US01097006305,14.82653959
140US01097005601,11.94609553
140US01097005602,10.44912739
140US01097006107,11.57871411
140US01097006201,13.85589441
140US01097003409,9.708573814
140US01097000801,2.109304225
140US01097006904,4.759839338
140US01097006307,10.85000795
140US01049960701,16.98035167
140US01049960402,4.667758739
140US01009050105,3.314918584
140US01009050701,12.4993416
140US01009050106,2.24749315
140US01049960602,15.76810033
140US01049960703,13.67655264
140US01049960401,6.531240481
140US01071950901,6.187243071
140US01079979502,6.108610332
140US01015001501,6.643865755
140US01015001101,5.702935
140US01019955801,7.309006075
140US01019956102,2.063958846
140US01055010201,1.189155486
140US01055010202,2.526507342
140US01077011401,8.389314199
140US01055010503,7.281287444
140US01093964702,13.5602382
140US01077011503,5.755054802
140US01093964401,3.312372115
140US01101005903,13.36342398
140US01101005414,5.40716035
140US01101005413,5.496163775
140US01101002902,1.8588833
140US01101005904,6.290100759
140US01071950601,7.308247723
140US01011952201,3.42922854
140US01031011203,1.165001954
140US01113030903,5.247401964
140US01113030905,12.27890067
140US01113030904,9.567796529
140US01047956102,9.295137681
