"HEROP_ID","GEOID","MetCtTmDr","MetCtTmDr2","MetTmDrP","MetTmDrP2","MetAvTmDr","MetAvTmDr2"
"050US13147","13147",0,0,0,0,38.05,76.1
"050US13149","13149",2,0,66.67,0,32.36,64.73
"050US13151","13151",59,49,100,83.05,10.54,21.07
"050US13153","13153",36,34,94.74,89.47,9.95,19.89
"050US13155","13155",2,0,66.67,0,28.48,56.96
"050US13157","13157",17,10,100,58.82,13.44,26.88
"050US13159","13159",0,0,0,0,37.32,74.64
"050US13161","13161",0,0,0,0,55.46,110.92
"050US13163","13163",0,0,0,0,76.54,153.09
"050US13165","13165",0,0,0,0,39.24,78.49
"050US13167","13167",0,0,0,0,59.3,118.61
"050US13169","13169",9,3,100,33.33,18.3,36.6
"050US13171","13171",4,0,100,0,21.2,42.39
"050US13173","13173",1,0,33.33,0,29.04,58.07
"050US13175","13175",11,7,78.57,50,18.24,36.48
"050US13177","13177",0,0,0,0,58.29,116.58
"050US13179","13179",0,0,0,0,45.61,91.23
"050US13181","13181",1,0,50,0,38.78,77.56
"050US13183","13183",0,0,0,0,54.77,109.54
"050US13185","13185",29,22,100,75.86,9.73,19.45
"050US13187","13187",2,0,25,0,34.09,68.18
"050US13189","13189",2,0,33.33,0,31.9,63.8
"050US13191","13191",2,0,28.57,0,33.77,67.53
"050US13193","13193",0,0,0,0,62.16,124.33
"050US13195","13195",6,2,85.71,28.57,20.41,40.82
"050US13197","13197",0,0,0,0,41.9,83.8
"050US13199","13199",3,0,42.86,0,30.32,60.65
"050US13201","13201",0,0,0,0,32.8,65.59
"050US13205","13205",0,0,0,0,50.6,101.2
"050US13207","13207",5,0,100,0,24.14,48.28
"050US13209","13209",2,0,66.67,0,24.61,49.23
"050US13211","13211",2,0,33.33,0,34.04,68.08
"050US13213","13213",9,7,90,70,13.43,26.87
"050US13215","13215",58,57,98.31,96.61,6.64,13.28
"050US13217","13217",22,10,100,45.45,16.44,32.87
"050US13219","13219",11,6,100,54.55,14.62,29.24
"050US13221","13221",3,0,50,0,28.61,57.22
"050US13223","13223",32,3,96.97,9.09,22.2,44.4
"050US13225","13225",4,3,50,37.5,35.03,70.06
"050US13227","13227",1,0,11.11,0,36.88,73.77
"050US13229","13229",2,0,33.33,0,28.84,57.68
"050US13231","13231",2,2,40,40,35.59,71.19
"050US13233","13233",4,0,50,0,27.98,55.97
"050US13235","13235",3,0,75,0,22.69,45.38
"050US13237","13237",5,0,62.5,0,28.3,56.6
"050US13239","13239",0,0,0,0,65.79,131.58
"050US13241","13241",3,0,37.5,0,35.84,71.68
"050US13243","13243",0,0,0,0,67.44,134.89
"050US13245","13245",32,26,57.14,46.43,34.03,68.06
