GEOID,RxTmDr,RxTmDr2,RxCntDr,RxMinDis
1073,7.679284679,15.35856936,64,4.303423845
1074,,,,
1075,3.419252211,6.838504422,67.45497515,1.486685818
1077,0.008610183,0.017220365,50.46977629,1.361995583
1079,,,,
1080,8.623675527,17.24735105,64.98900092,2.34243227
1081,17.82,35.64,9,6.301635784
1082,0.810144412,1.620288825,19.72287274,2.196305714
1083,11.11,22.22,26,4.642703631
1084,17.48,34.96,8,6.915436349
1085,2.557766422,5.115532843,61.47975928,1.794880944
1086,0,0,57,1.036415798
1088,4.894817075,9.789634151,56.06402439,3.641273097
1089,2.293513804,4.587027608,67.41159732,1.028431464
1090,0,0,70,0.065288351
1092,,,,
1093,,,,
1094,,,,
1095,2.866615574,5.733231147,60.17102495,2.646999141
1096,17.2931559,34.58631179,8.570342201,6.817444419
1097,,,,
1098,26.55667774,53.11335548,4.066445184,12.73035002
1101,1.66,3.32,69,0.757279102
1103,1.472091504,2.944183008,68.86819172,0.679615286
1104,0.390648414,0.781296828,69.81556196,0.424998197
1105,0.820481436,1.640962872,67.95880658,0.495795839
1106,0.060368217,0.120736434,63.23982558,0.761774156
1107,0.650366243,1.300732485,69.97611465,0.402561135
1108,1.039579045,2.07915809,65.61461397,0.577462355
1109,1.749679248,3.499358495,67.12059188,0.858344611
1111,,,,
1115,,,,
1116,0,0,58,0.767107974
1118,2.32080629,4.64161258,65.51142384,1.097709323
1119,1.913789098,3.827578196,66.78722607,0.749357781
1128,3.285620503,6.571241006,63.99910072,0.817829003
1129,3.617502422,7.235004844,63.45853501,0.875848662
1138,0,0,67,0.248445669
1139,1.92,3.84,69,0.903123437
1144,,,,
1151,1.685467129,3.370934257,68.87975778,0.748466774
1152,,,,
1199,,,,
1201,2.226226928,4.452453857,16.10691685,1.128733164
1202,0,0,17,0.288332211
1220,2.181872484,4.363744967,15.45503356,0.814276384
1222,14.81,29.62,2,5.432138385
1223,13.66756385,27.33512771,13.97707924,6.608388294
1224,0,0,19,3.061006315
1225,11.05928619,22.11857238,17.03040317,4.63728704
1226,6.42203056,12.84406112,14.99864177,2.482455615
1227,6.42,12.84,15,2.481614679
1229,,,,
1230,4.829693932,9.659387864,7.521850023,2.034046913
1235,14.8997561,29.7995122,10.71544715,6.066037184
1236,9.631532666,19.26306533,12.60552764,3.918355612
1237,0.964975721,1.929951442,18.95069107,3.139298209
1238,0.752869972,1.505739944,13.6684403,0.776886799
1240,0.187922157,0.375844315,14.97877131,1.172916634
1242,,,,
1243,,,,
1244,,,,
1245,19.56857143,39.13714286,5.314285714,7.791251546
1247,3.328948214,6.657896429,10.07575433,1.42446445
1253,25.08,50.16,4,12.30331774
1254,19.32191528,38.64383056,17.9281768,4.629644467
1255,25.06611308,50.13222616,4.003533568,12.29191931
1256,15.62,31.24,4,5.085468739
1257,14.81866699,29.63733398,2,5.436212254
1258,13.07,26.14,5,4.991403166
1259,17.79,35.58,2,6.832870141
1260,,,,
1262,,,,
1263,,,,
1264,,,,
1266,16.09648878,32.19297757,13.99458624,5.867548236
1267,0.568599848,1.137199697,14.59969857,1.920270389
1270,16.62799107,33.25598215,11.86160714,6.766149412
1301,1.749986362,3.499972724,18.60511655,0.76252581
1302,0,0,22,0.237468959
1330,17.32648366,34.65296733,8.947712419,6.187253378
1331,3.307613667,6.615227334,10.08038633,1.899595736
1337,8.385864467,16.77172893,15,5.025533238
1338,0,0,8,0.535480682
1339,15.021,30.042,4.4,6.023835765
1340,16.38481143,32.76962287,4.073142856,6.522143561
1341,17.68311666,35.36623333,9.025000005,6.284398061
1342,7.57,15.14,24,4.548638057
1343,15.89612903,31.79225806,4,5.48500016
1344,17.18,34.36,8,7.616113284
1346,16.69,33.38,4,6.633652996
1347,,,,
1349,9.330023755,18.66004751,19.60095012,4.530867456
1350,16.69,33.38,4,6.633652996
1351,9.066811457,18.13362291,19.99075786,4.428452397
1354,8.39,16.78,15,5.03252709
1355,16.44382488,32.88764977,9.96313364,8.425212088
1360,16.14072022,32.28144044,12.9965374,7.006283627
1364,9.253794302,18.5075886,8.965628359,3.403353613
1366,15.1190084,30.23801679,8.003361345,7.131982306
1367,16.6177492,33.23549839,4,6.529113223
1368,13.87669903,27.75339806,9,6.456820048
1370,3.081017268,6.162034536,7.634357002,1.615642291
1373,8.383697137,16.76739427,25.28285585,4.941353127
1375,11.99935567,23.99871134,30.96030928,6.683338462
1376,1.642030151,3.284060302,18.36247906,1.288218981
1378,17.18,34.36,8,7.616113284
1379,17.18,34.36,8,7.616113284
1380,17.18,34.36,8,7.616113284
1420,1.99919093,3.998381861,38.56985314,0.913702524
1430,11.55952253,23.11904506,16.0006725,6.327730261
1431,11.58975649,23.17951298,26,6.07589637
1432,2.311625649,4.623251297,78.38061313,0.840870285
1434,5.951702789,11.90340558,80.67182663,1.696381392
1436,11.11,22.22,15,4.623152702
1438,8.22,16.44,17,3.958435455
1440,2.202776367,4.405552734,17.17493632,1.237816975
1450,4.459289784,8.918579569,65.60216479,1.92446417
1451,8.95216171,17.90432342,110.5820248,3.496496682
1452,12.13633101,24.27266202,24.43760044,5.856763308
1453,2.359824309,4.719648618,80.97722496,1.252350429
1460,2.294815727,4.589631455,144.8949969,1.689053921
1462,2.362911668,4.725823335,37.33642311,1.708389464
1463,2.557502458,5.115004916,64.21761232,1.071628558
1464,6.429417007,12.85883401,52.99294467,2.97620469
1467,,,,
1468,8.989816731,17.97963346,16.47227444,4.136277647
