HEROP_ID,RcaUrbanP,RcaSubrbP,RcaRuralP,CenFlags,CenRuralP
050US37103,0.0,0.67,0.33,,1.0
050US37115,0.17,0.83,0.0,,0.91
050US37123,0.0,0.0,1.0,,0.77
050US28141,0.0,0.0,1.0,,1.0
050US42099,0.1,0.9,0.0,,0.88
050US42103,0.0,0.72,0.28,,0.71
050US42127,0.0,0.36,0.64,,0.88
050US42133,0.78,0.18,0.04,,0.25
050US48411,0.0,0.0,1.0,,0.49
050US48429,0.0,0.0,1.0,,0.39
050US48449,0.0,0.62,0.38,,0.51
050US48453,0.94,0.06,0.0,,0.05
050US48455,0.0,0.0,1.0,,0.77
050US48467,0.0,0.8,0.2,,0.75
050US48473,0.17,0.67,0.17,,0.62
050US48479,0.92,0.08,0.0,,0.03
050US49033,0.0,0.0,1.0,,1.0
050US49045,0.0,0.73,0.27,,0.18
050US49047,0.0,0.67,0.33,,0.47
050US49051,0.0,1.0,0.0,,0.27
050US50017,0.0,0.0,1.0,,0.97
050US50027,0.0,0.11,0.89,,0.76
050US51007,0.0,1.0,0.0,,1.0
050US51017,0.0,0.0,1.0,,1.0
050US51019,0.12,0.69,0.19,3.0,0.78
050US51023,0.38,0.62,0.0,,0.64
050US51033,0.0,0.57,0.43,,0.78
050US51036,0.0,1.0,0.0,,1.0
050US51041,0.99,0.01,0.0,,0.06
050US51057,0.0,0.67,0.33,,0.77
050US51067,0.0,0.9,0.1,,0.89
050US51083,0.0,0.0,1.0,,0.77
050US51091,0.0,0.0,1.0,,1.0
050US51095,0.91,0.09,0.0,,0.16
050US51107,0.85,0.15,0.0,,0.13
050US51111,0.0,0.33,0.67,,1.0
050US51127,0.0,1.0,0.0,,1.0
050US51133,0.0,0.0,1.0,,1.0
050US51143,0.0,0.12,0.88,,0.86
050US51159,0.0,0.0,1.0,,1.0
050US51165,0.21,0.79,0.0,,0.59
050US51175,0.0,0.2,0.8,,0.98
050US51179,0.85,0.15,0.0,,0.2
050US51187,0.0,0.75,0.25,,0.5
050US53047,0.0,0.0,1.0,,0.8
050US53049,0.0,0.0,1.0,,0.65
050US53053,0.95,0.05,0.0,,0.07
050US53061,0.65,0.34,0.01,,0.11
050US53071,0.92,0.08,0.0,,0.17
050US53073,0.62,0.35,0.03,,0.26
050US54013,0.0,0.5,0.5,,1.0
050US54017,0.0,0.0,1.0,,1.0
050US54019,0.5,0.42,0.08,,0.58
050US54023,0.0,0.0,1.0,,0.79
050US54027,0.0,0.8,0.2,,1.0
050US54033,0.0,0.73,0.27,,0.37
050US54037,0.0,0.93,0.07,,0.48
050US54043,0.0,1.0,0.0,,1.0
050US54065,0.0,0.25,0.75,,1.0
050US54071,0.0,0.67,0.33,,1.0
050US54081,0.82,0.18,0.0,,0.39
050US54093,0.0,0.0,1.0,,1.0
050US54095,0.0,0.0,1.0,,0.91
050US37133,0.62,0.28,0.09,,0.26
050US37137,0.0,0.4,0.6,,1.0
050US37149,0.0,0.71,0.29,,0.92
050US37153,0.0,0.73,0.27,,0.46
